subject,testsuite,total_mutants
commons-collections,dynamosa,8309
commons-collections,organic,8309
commons-collections,random,8309
commons-compress,organic,9566
commons-compress,random,9566
commons-compress,dynamosa,9566
commons-configuration,random,6279
commons-configuration,dynamosa,6279
commons-configuration,organic,6279
commons-csv,dynamosa,635
commons-csv,random,635
commons-csv,organic,635
commons-dbcp,organic,4230
commons-dbcp,dynamosa,4230
commons-dbcp,random,4230
commons-imaging,random,11597
commons-imaging,dynamosa,11597
commons-imaging,organic,11597
commons-io,dynamosa,3273
commons-io,random,3273
commons-io,organic,3273
commons-lang,organic,13061
commons-lang,dynamosa,13061
commons-lang,random,13061
commons-math,dynamosa,47881
commons-math,organic,47881
commons-math,random,47881
commons-net,dynamosa,5764
commons-net,organic,5764
commons-net,random,5764
